Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",89.770931,-71.575336,0.000000,bottom
"C2","4.7uF","C_0402_1005Metric",93.004303,-56.875365,135.000000,bottom
"C3","1uF","C_0402_1005Metric",96.704303,-69.375363,45.000000,bottom
"C4","100nF","C_0402_1005Metric",97.604305,-70.175366,45.000000,bottom
"C5","100nF","C_0402_1005Metric",92.104302,-57.775364,135.000000,bottom
"C6","100nF","C_0402_1005Metric",86.904304,-65.975364,-45.000000,bottom
"C7","100nF","C_0402_1005Metric",99.304301,-62.175368,135.000000,bottom
"C9","1uF","C_0402_1005Metric",90.604264,-52.762008,-90.000000,bottom
"C10","1uF","C_0402_1005Metric",95.604262,-53.242009,-90.000000,bottom
"D1","D_Small","D_SOD-523",49.659767,-40.749360,80.000000,bottom
"D2","D_Small","D_SOD-523",144.492374,-39.360175,100.000000,bottom
"D3","D_Small","D_SOD-523",59.507845,-42.485840,80.000000,bottom
"D4","D_Small","D_SOD-523",134.644293,-41.096654,100.000000,bottom
"D5","D_Small","D_SOD-523",69.355923,-44.222321,80.000000,bottom
"D6","D_Small","D_SOD-523",124.796218,-42.833135,100.000000,bottom
"D7","D_Small","D_SOD-523",79.204002,-45.958804,80.000000,bottom
"D8","D_Small","D_SOD-523",114.948138,-44.569621,100.000000,bottom
"D9","D_Small","D_SOD-523",89.052075,-47.695289,80.000000,bottom
"D10","D_Small","D_SOD-523",105.100059,-46.306104,100.000000,bottom
"D11","D_Small","D_SOD-523",47.923289,-50.597440,80.000000,bottom
"D12","D_Small","D_SOD-523",146.228854,-49.208255,100.000000,bottom
"D13","D_Small","D_SOD-523",57.771363,-52.333918,80.000000,bottom
"D14","D_Small","D_SOD-523",136.380775,-50.944731,100.000000,bottom
"D15","D_Small","D_SOD-523",67.619444,-54.070398,80.000000,bottom
"D16","D_Small","D_SOD-523",126.532698,-52.681214,100.000000,bottom
"D17","D_Small","D_SOD-523",77.467518,-55.806884,80.000000,bottom
"D18","D_Small","D_SOD-523",116.684623,-54.417693,100.000000,bottom
"D19","D_Small","D_SOD-523",87.315599,-57.543364,80.000000,bottom
"D20","D_Small","D_SOD-523",106.836539,-56.154175,100.000000,bottom
"D21","D_Small","D_SOD-523",46.186805,-60.445515,80.000000,bottom
"D22","D_Small","D_SOD-523",147.965335,-59.056327,100.000000,bottom
"D23","D_Small","D_SOD-523",56.034884,-62.181997,80.000000,bottom
"D24","D_Small","D_SOD-523",138.117261,-60.792811,100.000000,bottom
"D25","D_Small","D_SOD-523",65.882957,-63.918480,80.000000,bottom
"D26","D_Small","D_SOD-523",128.269180,-62.529292,100.000000,bottom
"D27","D_Small","D_SOD-523",75.731037,-65.654956,80.000000,bottom
"D28","D_Small","D_SOD-523",118.421102,-64.265773,100.000000,bottom
"D29","D_Small","D_SOD-523",85.579117,-67.391441,80.000000,bottom
"D30","D_Small","D_SOD-523",108.573025,-66.002256,100.000000,bottom
"D31","D_Small","D_SOD-523",44.450326,-70.293593,80.000000,bottom
"D32","D_Small","D_SOD-523",149.701815,-68.904409,100.000000,bottom
"D33","D_Small","D_SOD-523",54.298401,-72.030075,80.000000,bottom
"D34","D_Small","D_SOD-523",139.853738,-70.640888,100.000000,bottom
"D35","D_Small","D_SOD-523",64.146477,-73.766555,80.000000,bottom
"D36","D_Small","D_SOD-523",130.005663,-72.377371,100.000000,bottom
"D37","D_Small","D_SOD-523",73.994554,-75.503036,80.000000,bottom
"D38","D_Small","D_SOD-523",120.157580,-74.113851,100.000000,bottom
"D39","D_Small","D_SOD-523",83.842633,-77.239520,80.000000,bottom
"D40","D_Small","D_SOD-523",110.309507,-75.850335,100.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",95.829001,-50.161012,180.000000,bottom
"H1","MountingHole_Pad","m1.6_hole",50.057653,-44.251630,170.000000,bottom
"H2","MountingHole_Pad","m1.6_hole",79.601884,-49.461072,170.000000,bottom
"H3","MountingHole_Pad","m1.6_hole",46.563844,-64.065990,170.000000,bottom
