Designator,Footprint,Comment,JLCPCB Part #
"J1",Mid_Mount-USB_C,USB2_C_Receptacle,C223907
"C4,C6,C5,C1,C7",C_0402_1005Metric,100nF,C1525
"D3,D20,D35,D28,D21,D32,D34,D25,D30,D9,D24,D27,D26,D38,D8,D29,D15,D16,D40,D31,D13,D39,D19,D11,D14,D2,D6,D22,D7,D12,D18,D4,D1,D37,D5,D17,D23,D33,D10,D36",D_SOD-523,D_Small,C145179
"SW2,SW32,SW10,SW20,SW8,SW19,SW38,SW15,SW21,SW1,SW36,SW29,SW25,SW31,SW11,SW13,SW4,SW34,SW17,SW18,SW33,SW40,SW30,SW7,SW14,SW12,SW5,SW3,SW24,SW16,SW28,SW37,SW9,SW39,SW26,SW22,SW23,SW27,SW35,SW6",SW_SPST_EVQP0,SW_Push,C713479
"C9,C3,C10",C_0402_1005Metric,1uF,C52923
"F1",Fuse_1206_3216Metric,500mA,C163512
"R3,R2",R_0402_1005Metric,5.1k,C25905
"U3",SOT-23,XC6206PxxxMR-Regulator_Linear,C5446
"U2",LQFP-48_7x7mm_P0.5mm,STM32F072C8Tx,C80488
"SW42",SW_SPST_SKQG_WithoutStem,RST,C318884
"C2",C_0402_1005Metric,4.7uF,C23733
"R1",R_0402_1005Metric,10k,C25744
"U1",SOT-23-6,USBLC6-2SC6,C5250994
"SW41",SW_SPST_SKQG_WithoutStem,BOOT,C318884
